
"ANSI サポート・コマンド","ANSI エスケープなしでテキストをコピー","Ctrl+Insert","コンソール・ビュー内","AnsiConsole.command.copy_without_escapes"
"AnyEdit ツール","HTML エンティティーを文字に変換","Ctrl+Alt+W","テキストの編集","AnyEdit.unescape.command"
"AnyEdit ツール","カーソル上のファイルを開く","Ctrl+Alt+R","テキストの編集","AnyEdit.openFileFromTextEditor.command"
"AnyEdit ツール","カーソル上の型を開く","Ctrl+Alt+T","テキストの編集","AnyEdit.openTypeFromTextEditor.command"
"AnyEdit ツール","キャメル <-> アンダースコアーの変換","Ctrl+Alt+K","テキストの編集","AnyEdit.camel.command"
"AnyEdit ツール","キャメル <-> パスカルの変換","Ctrl+Alt+B","テキストの編集","AnyEdit.camelToPascal.command"
"AnyEdit ツール","スペースをタブに変換","Ctrl+Alt+Tab","テキストの編集","AnyEdit.CnvrtSpacesToTabs.command"
"AnyEdit ツール","タブをスペースに変換","Ctrl+Alt+Space","ウィンドウ","AnyEdit.CnvrtTabToSpaces.command"
"AnyEdit ツール","先頭文字のみ大文字","Ctrl+Alt+C","テキストの編集","AnyEdit.capitalize.command"
"AnyEdit ツール","大/小文字を逆転","Ctrl+Alt+I","テキストの編集","AnyEdit.invertCase.command"
"AnyEdit ツール","大文字に変換","Ctrl+Alt+U","テキストの編集","AnyEdit.toUpperCase.command"
"AnyEdit ツール","小文字に変換","Ctrl+Alt+L","テキストの編集","AnyEdit.toLowerCase.command"
"AnyEdit ツール","文字を HTML エンティティーに変換","Ctrl+Alt+E","テキストの編集","AnyEdit.escape.command"
"Buildship","Gradle プロジェクトのリフレッシュ","Ctrl+R","ウィンドウ","org.eclipse.buildship.ui.commands.refreshproject"
"Enhanced Class Decompiler","逆コンパイル","Ctrl+Alt+,","ウィンドウ","org.sf.feeling.decompiler.decompile"
"Enhanced Class Decompiler","逆コンパイル","Ctrl+Alt+.","ウィンドウ","org.sf.feeling.decompiler.debugMode"
"Git","クイック・アウトライン","Ctrl+O","Diff ビューアー内","org.eclipse.egit.ui.commit.DiffEditorQuickOutlineCommand"
"Git","コミット...","Ctrl+#","ウィンドウ","org.eclipse.egit.ui.team.Commit"
"Git","パスをクリップボードにコピー","Ctrl+C","Git リポジトリー・ビュー","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Git","ブランチの名前変更...","F2","Git リポジトリー・ビュー","org.eclipse.egit.ui.team.RenameBranch"
"Git","プル","Ctrl+Alt+Shift+P","ウィンドウ","org.eclipse.egit.ui.team.Pull"
"Git","作業ツリーを縮小表示","Ctrl+Left","Git リポジトリー・ビュー","org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree"
"Glance","Glance を閉じる","Esc","Glance 検索コンテキスト","com.xored.glance.commands.close"
